9,1,30.0,1500.0,"Idéal pour un(e) étudiant (e) ou un couple (de préférence pour une longue durée). Dans une copropriété très bien entretenue et sécurisée coté cour, beau studio de 30 m², au 6ème étage (ascenseur),..."
20,1,32.0,1350.0,"Location Meublée - Loyer charges comprises inclus chauffage et eau Disponibilité : samedi 26 octobre 2024. Pas de local vélo, exposition Nord / Est, pas de chambre séparée (1 pièce de 22 m2) Dans..."
7,1,45.0,1600.0,"Quartier des Invalides proche Concorde. Logement de fonction faisant partie d'une boutique (avec entrée commune), une seule grande pièce de + 40m2 style loft, en souterrain avec puits lumineux,..."
11,1,19.0,950.0,"Métro Bastille ou Ledru-Rollin. Immeuble pierre de taille. Rez-de-chaussée sur cour. Studio meublé 19 m2 environ : hauteur sous plafond, mezzanine de couchage 2 personnes, coin cuisine équipé, salle..."
15,2,37.0,1690.0,"Appartement disponible à partir du 30 novembre, loué avec une box internet haut débit incluse dans les charges 2 pièces **traversant très lumineux de haut standing** d'environ 35 m² entièrement..."
9,2,40.0,2052.0,"Paris 9ème. Faubourg Montmartre. Cité Trévise. Métros : Grand Boulevard = ligne 8 et 9, Le Peltier, Cadet, poissonnière = ligne 7. Bus : 26 / 32 / 42 / 43 / 48. 2 pièces meublées - 2ème étage sur..."
12,2,48.0,1700.0,"Place Daumesnil, meublé 2/3 pièces de 48m2 refait par architecte il y a un an . 1 er étage ascenseur particulièrement **lumineux et calme**. Immeuble ancien sécurisé par digicode et interphone. ..."
19,2,38.0,1480.0,"Avenue de Flandre, proximité école d'architecture, parc de La Villette, Cour Florent. **Aménagement et configuration idéale pour colocation (entrée desservant toutes les pièces, salon avec..."
14,2,40.0,1650.0,"Denfert-Rochereau. Limite 6e et 5e. 2 pièces, meublé, 40 m2, au 1er vue dégagée et calme, refait à neuf. Ascenseur. Immeuble récent standing, état impeccable : entrée, séjour, chambre, cuisine..."
15,3,58.0,2400.0,"Bail code civil. Location Vide, libre à de suite, Garantie demandée Convention à proximité de la place Charles Vallin. Appartement 3 pièces de 55 m² avec 2 chambres, cuisine indépendante + salle..."
16,1,23.0,1500.0,"Studio meublé 23 m², proche du Trocadéro, **Très proche du lycée Janson De Sailly** avec ascenseur dans un immeuble standing sécurisé (avec gardiennage et digicode) donnant sur un jardin arboré au..."
17,3,75.0,3000.0,"Appartement 3 pièces immeuble moderne, 2 chambres, cuisine équipée moderne Smeg, salle de bains baignoire, rangements. Immeuble grand standing, ascenseur, cave."
16,1,9.13,480.0,"Paris 16e, quartier rue de la Pompe, rue calme et très agréable, proche tous commerces, bonnes écoles. Dans immeuble de grand standing, avec gardienne et trois digicodes, faibles charges :..."
14,1,20.0,950.0,"Paris 14-Rue Du Couedic. A proximité de Denfert-Rochereau, studio entièrement rénové. Rez-de-chaussée sur Jardin, cuisine équipée, douche, lumineux et calme."
11,2,37.0,1600.0,"2 pièces 1 chambre 37 m². Appartement 2/3 pièces - **spacieux, calme, lumineux**. **Refait à neuf fin 2017 avec parquet massif et rangements intégrés**. Au coeur du quartier Folie Méricourt."
2,2,48.0,1930.0,Appartement dans le 2eme arrondissement face au mur végétal situé au 4e étage (sans ascenseur) comprenant une entrée avec wc independant un grand placard miroirs avec lave linge et rangements une...
18,1,25.0,940.0,"Envie de découvrir la superbe vue sur Montmartre, l'absence de vis-a-vis, voir le ciel et voir au loin... grâce à cet appartement en étage élevé dans un immeuble avec gardien 24h/24. Il est..."
19,1,32.0,1000.0,"**Grand studio lumineux de 32 m2, sans vis-à-vis avec balcon fermé** au 6e étage avec ascenseur. Studio refait à neuf. Possibilité d'admirer le sacré cœur et la Tour Eiffel. Le studio est très bien..."
15,2,30.0,1350.0,Appartement de type 2 pièces meublé d’une surface d’environ de 30m2. Situé à 2 min du métro Cambronne. Dpe en cours.
16,3,57.0,1856.0,"Beau 3 pièces lumineux au 3 ème étage avec ascenseur, 57 m2 sur rue tranquille, dans immeuble ancien résidentiel, quartier commerçants. Entrée, séjour, cuisiné, 2 chambres dont 1 sur cour et 1 sur..."
15,1,22.0,990.0,"Commerce ou Motte-Picquet ou Cambronne. Studio meublé, 22 m² environ. Dans immeuble ancien pierre de taille. Rez-de-chaussée. Tout confort. Cuisine équipée, salle d'eau lave-linge. Courte durée..."
16,1,12.0,585.0,"**Disponible fin octobre 2024** Studette meublée 12 m2. Métro Jasmin / Ranelagh. Proche tous commerces et transports. Immeuble de grand standing. Gardienne, digicode. Rez-de-chaussée, clair sur rue..."
11,2,50.0,1600.0,"Location bail mobilité du 24 novembre 2024 au 10 juin 2024 **Grand F2 entièrement meublé de 50m²**.Rue de La Folie Méricourt. 4 lignes de métro sont à proximité (Saint Ambroise Ligne 9 à 1mn,..."
11,2,36.0,350.0,Je travaille à Paris et me déplace dans le Sud de la France régulièrement. **Je cherche un co-locataire pour mon appartement pour les WEEK-END UNIQUEMENT puisqu'il est libre du vendredi soir au...
19,2,52.0,1400.0,"Grand appartement de 2 pièces meublé avec véranda situé au 9ème avec ascenseur, sans vis-à-vis, clair et lumineux avec vue sur le Sacré Coeur et la Tour Eiffel. L'appartement est équipé de beaucoup..."
15,4,80.0,2750.0,"**Joli appartement familial en duplex**, avec balcon filant. Le charme de l'ancien avec parquet, moulures, très clair, refait à neuf. Deux chambres avec salle de bains et toilette séparé. salon,..."
15,3,85.0,2850.0,"Appartement dans résidence de standing, à 1mn des stations RER C et métro Javel, 2 lignes de bus, Très sécurisée (gardien 24h/24 + bip individuel), vue directe sur la Seine, balcon/terrasse le long..."
10,3,44.0,1378.0,Stations de métro : République et Goncourt. Paris 10ème. Canal St-Martin. 3 pièces 44 m2. Idéalement situé dans une rue très appréciée du 10ème Au sein d'un immeuble ancien 1er étage/4 sur cour et...
19,3,70.0,2238.0,"Canal de l'Ourcq / rue de Joinville. Appartement 3 pièces 70 m2. 2ème étage + local vélo, ascenseur, cave saine et gardienne (adorable). Loyer 2023€ (encadrement) et charges 215€ (chauffage..."
13,1,30.0,1200.0,"Place d'Italie, Italie 2. Studio entièrement meublé, 30m², cuisine équipée séparée, salle de bains avec baignoire et lave-linge. Clair, fonctionnel. Immeuble récent avec ascenseur. Chauffage..."
4,1,27.0,1995.0,"Superbe Grand studio ""les toits de Notre Dame sur l'île de la cité à Paris (27m2) avec A/C. Situé rue d'Arcole, il a été entièrement rénové et décoré par un architecte Véritable havre de paix, cet..."
15,3,71.0,2120.0,"Rue Balard, à proximité du parc André Citroën. Appartement entièrement rénové 3 pièces traversant de 71 m2 rez-de-chaussée dégagé et ensoleillé. Il se compose d'une entrée donnant sur le séjour..."
11,2,37.0,1600.0,"2 pièces 1 chambre 37 m². Appartement 2/3 pièces - **spacieux, calme, lumineux**. **Refait à neuf fin 2017 avec parquet massif et rangements intégrés**. Au coeur du quartier Folie Méricourt."
18,1,24.0,930.0,"Studio 24 m2 loi Carrez entièrement rénové en 2021. Proche Gare du Nord et lignes 4, 12 et 2. Immeuble sécurisé : 2 digicodes et 1 gardien. 1er étage. Ascenseur. Vue sur jardin. Dans l'entrée :..."
13,2,42.5,1770.0,"Dans un immeuble de standing avec gardien, au 10ème étage avec ascenseur, un deux pièces de 42,5 m² orienté ouest, comprenant une entrée en étoile, séjour, cuisine toute équipée séparée, une salle..."
17,4,92.0,3599.0,"Immeuble Haussmannien plaine Monceau Courcelles. Location meublée (Roche Bobois) de 92m2 calme au 4e étage. Une entrée, vaste double living, une cuisine toute équipée (frigo américain, etc…), une..."
11,2,37.0,1600.0,"2 pièces 1 chambre 37 m². Appartement 2/3 pièces - **spacieux, calme, lumineux**. **Refait à neuf fin 2017 avec parquet massif et rangements intégrés**. Au coeur du quartier Folie Méricourt."
12,2,47.06,1770.0,"RER Gare de Lyon, métro Reuilly Diderot, 2 pièces situé au 2e et dernier étage, à proximité de tous commerces, cafés restaurants, marché d'Aligre à 3 min. L'appartement offre une belle hauteur sous..."
8,3,57.0,3000.0,Parc Monceau / Triangle d'Or/ Adresse de Prestige Très bel appartement meublé de 57 m² entièrement refait à neuf par architecte il y a deux ans. Situation exceptionnelle à 2 min à pied du Parc...
17,1,14.0,700.0,"Studette rénovée, au 2ème étage, avec douche, wc, cuisinette, canapé, réfrigérateur, évier, plaques de cuisson, prise téléphone et fibre optique. Située rue de Levis , 5 min à pied des métros..."
15,3,61.0,2390.0,"3 pièces traversant de 61 m² refait à neuf, à louer semi-meublé au pied du métro Charles Michel dans un bel immeuble haussmannien, situé au 3ème étage avec ascenseur. Entrée, séjour et 2 grandes..."
4,1,29.0,1500.0,**Bel appartement** au coeur de l'île St-Louis à 2 pas de Notre Dame sur l'île historique la plus calme de Paris. Appartement meublé de 29 m2 (27m2 loi Carrez). Situé au 2ème étage sans ascenseur...
18,3,60.0,1860.0,"Paris 18e en face des Batignolles et à 1 minute du métro place Clichy. 3 pièces de 60m² avec grandes baies vitrées très lumineux, récemment restructuré, dans petit immeuble ancien, au 2ème étage..."
15,1,27.0,1250.0,"Charmant appartement de 27 m² refait à neuf . Situé au 45 rue Héricart dans le 15e arrondissement, cet appartement entièrement rénové il y a quelques années est loué meublé et se trouve à proximité..."
